t1,t2,t3,t4,t5,t6,x,y
-77,-73,-81,-60,-78,-77,0.95,0.25
-82,-80,-80,-60,-69,-72,1.45,0.25
-78,-81,-75,-69,-73,-75,1.95,0.25
-71,-71,-75,-67,-72,-75,2.45,0.25
-73,-78,-77,-67,-67,-68,2.45,0.75
-75,-74,-78,-68,-67,-76,2.45,1.25
-74,-71,-73,-71,-68,-72,2.45,1.75
-72,-80,-78,-70,-72,-73,2.45,2.25
-75,-72,-78,-76,-76,-72,2.45,2.75
-67,-70,-76,-69,-69,-75,2.45,3.25
-81,-74,-80,-70,-73,-70,1.95,3.25
-68,-74,-80,-75,-66,-73,1.45,3.25
-75,-78,-69,-75,-79,-65,0.95,3.25
-77,-75,-77,-72,-73,-61,0.95,3.75
-77,-76,-72,-77,-77,-60,0.95,4.25
-74,-77,-73,-71,-77,-74,0.95,4.75
-71,-81,-69,-77,-74,-74,0.95,5.25
-73,-77,-64,-75,-81,-70,0.95,5.75
-73,-71,-61,-72,-77,-74,0.95,6.25
-67,-76,-65,-75,-75,-68,1.45,6.25
-68,-76,-68,-72,-76,-75,1.95,6.25
-68,-71,-67,-76,-79,-78,2.45,6.25
-74,-70,-69,-71,-75,-73,2.45,5.75
-69,-74,-69,-77,-77,-71,2.45,5.25
-77,-73,-70,-71,-79,-72,2.45,4.75
-68,-75,-69,-72,-78,-74,2.45,4.25
-68,-77,-73,-70,-74,-67,2.45,3.75
-71,-77,-74,-71,-72,-71,2.45,3.25
-70,-76,-68,-65,-75,-73,1.95,3.25
-71,-79,-71,-67,-72,-73,1.45,3.25
-74,-77,-68,-70,-74,-69,0.95,3.25
-74,-76,-70,-62,-81,-69,0.95,2.75
-72,-78,-76,-65,-72,-68,0.95,2.25
-68,-73,-71,-60,-74,-65,0.95,1.75
-80,-77,-78,-58,-73,-70,0.95,1.25
-79,-75,-77,-58,-75,-73,0.95,0.75
-80,-77,-75,-61,-73,-71,0.95,0.25